"Source:","/Users/zhonx/Documents/Projets_PRE/CISYNTH/CIS/Electronique/sss-cis_electronics/CIS.kicad_sch"
"Date:","2024 February 27, Tuesday 16:11:47"
"Tool:","Eeschema 7.0.2-0"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py"
"Component Count:","176"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Field1","Field1_1","Field2","Field3","Field4","Field5","Field6","Field7","Field8","Field9"
"1","33","C1, C2, C3, C6, C8, C10, C12, C14, C29, C32, C33, C34, C38, C42, C43, C44, C45, C47, C49, C50, C52, C53, C54, C55, C56, C62, C70, C78, C79, C82, C84, C87, C89","C_0002","DVB_C:C_0002","DVB_Capacitors_Ceramic:C_0402","generic","","","","","","CER","100nF","25V","X7R","10%",""
"2","8","C4, C5, C9, C19, C46, C68, C71, C72","C_0003","DVB_C:C_0003","DVB_Capacitors_Ceramic:C_0603","generic","","","","","","CER","10µF","25V","X5R","10%",""
"3","6","C7, C11, C16, C30, C63, C64","C_0036","DVB_C:C_0036","DVB_Capacitors_Ceramic:C_0603","generic","","","","","","CER","4.7µF","25V","X5R","10%",""
"4","10","C13, C15, C18, C31, C41, C51, C69, C81, C83, C88","C_0044","DVB_C:C_0044","DVB_Capacitors_Ceramic:C_0402","generic","","","","","","CER","1µF","25V","X5R","20%",""
"5","4","C17, C21, C22, C23","C_0043","DVB_C:C_0043","DVB_Capacitors_Ceramic:C_0402","generic","","","","","","CER","18pF","50V","COG/NPO","5%",""
"6","3","C20, C37, C60","C_0001","DVB_C:C_0001","DVB_Capacitors_Ceramic:C_0402","generic","","","","","","CER","10nF","25V","X7R","10%",""
"7","1","C24","C_0014","DVB_C:C_0014","DVB_Capacitors_Ceramic:C_0402","generic","","","","","","4.7pF","CER","50V","COG/NPO","5%",""
"8","6","C25, C35, C48, C65, C67, C90","C_0040","DVB_C:C_0040","DVB_Capacitors_Ceramic:C_1210","generic","","","","","","CER","47µF","10V","X7R","10%",""
"9","3","C26, C27, C28","C_0028","DVB_C:C_0028","DVB_Capacitors_Ceramic:C_0402","generic","","","","","","47pF","CER","25V","COG/NPO","5%",""
"10","1","C36","C_0080","DVB_C:C_0080","DVB_Capacitors_Ceramic:C_0402","generic","","","","","","CER","220pF","50V","X7R","10%",""
"11","1","C39","C_0068","DVB_C:C_0068","DVB_Capacitors_Ceramic:C_0402","http://www.samsungsem.com/kr/support/product-search/mlcc/__icsFiles/afieldfile/2019/06/18/CL05B471KB5NNNC-19.pdf","","","","","","CER","470pF","50V","X7R","10%",""
"12","3","C58, C59, C61","C_0001",":C_0001_1","DVB_Capacitors_Ceramic:C_0402","generic","","","","","","10nF","CER","25V","X7R","10%",""
"13","5","C66, C73, C74, C77, C80","C_0063","DVB_C:C_0063","DVB_Capacitors_Ceramic:C_0402","http://www.farnell.com/datasheets/2189109.pdf","","","","","","GMR","4.7µF","10V","X5R","20%",""
"14","2","C75, C76","C_0045","DVB_C:C_0045","DVB_Capacitors_Ceramic:C_0402","generic","","","","","","CER","2.2µF","25V","X5R","10%",""
"15","3","D1, D3, D4","D_0001","DVB_D:D_0001","DVB_LED:LED_0603-red","http://www.vishay.com/docs/83172/tlmo1000.pdf","","","","","","TLMS1000-GS08","2mA","LED","RED","TOP",""
"16","1","D2","D_0021","DVB_D:D_0021","DVB_Diodes:D_SOD-123","http://www.farnell.com/datasheets/2304408.pdf?_ga=2.70745296.1318262782.1499092899-695518372.1495123464","","","","","","MBR0530","500mA","SCHOTTKY","1-Chan","30Vr",""
"17","1","F1","F_0002","DVB_F:F_0002","DVB_F:F_1206","http://www.farnell.com/datasheets/2571626.pdf?_ga=2.172047267.1679075054.1534492304-1633818369.1526403009","","","","","","0685H9100-01","FUSE","10A","","",""
"18","1","J2","RJ45_Abracon_ARJP11A-MASA-B-A-EMU2","Connector:RJ45_Abracon_ARJP11A-MASA-B-A-EMU2","Connector_RJ:RJ45_Abracon_ARJP11A-MA_Horizontal","https://abracon.com/Magnetics/lan/ARJP11A.PDF","","","","","","","","","","",""
"19","1","K1","K_0073","DVB_K:K_0073","DVB_Displays:OLED256x64-2P1_HOLE_TE_3-2328724-1‎","http://www.farnell.com/datasheets/1875032.pdf?_ga=2.157046779.1318262782.1499092899-695518372.1495123464","","","","","","3-2328724-1‎","31p","fem","RA","CFAL25664C0-021M-[W|Y]",""
"20","1","K2","K_0072","DVB_K:K_0072","DVB_Connectors:Molex_PicoBlade_53261-1271_1x12-1MP_P1.25mm_Horizontal","https://www.molex.com/pdm_docs/sd/532611271_sd.pdf","","","","","","532611271","","","","",""
"21","1","K3","K_0100","DVB_K:K_0100","Connector:Tag-Connect_TC2030-IDC-FP_2x03_P1.27mm_Vertical","TC2030-IDC","","","","","","","","","","",""
"22","1","L1","L_0011","DVB_L:L_0011","DVB_Inductors:L_4018-Coilcraft","http://www.farnell.com/datasheets/1805324.pdf?_ga=2.69630928.1318262782.1499092899-695518372.1495123464","","","","","","LPS4018-682MRB","1.3A","COIL","6.8µH","",""
"23","2","L2, L7","L_0010","DVB_L:L_0010","DVB_Inductors:L_0603","http://www.farnell.com/datasheets/84899.pdf?_ga=2.129998540.1318262782.1499092899-695518372.1495123464","","","","","","MMZ1608B121C","600mA","CHIP BEADS","120ohm to 100Mhz","",""
"24","5","L3, L5, L8, L9, L10","L_0017","DVB_L:L_0017","DVB_Inductors:L_0603","http://www.farnell.com/datasheets/2575526.pdf?_ga=2.129998540.1318262782.1499092899-695518372.1495123464","","","","","","FBMJ1608HM180NTR","7.5A","BEADS","18ohm","",""
"25","1","L4","L_0002","DVB_L:L_0002","DVB_Inductors:L_5030-Coilcraft","http://www.farnell.com/datasheets/1681990.pdf?_ga=2.3696820.526238941.1497949497-421346633.1483631847","","","","","","XAL5030-222MEC","9.2A","COIL","2.2µH","",""
"26","1","L6","L_0018","DVB_L:L_0018","DVB_Inductors:L_4018-Coilcraft","http://www.farnell.com/datasheets/1805324.pdf?_ga=2.69630928.1318262782.1499092899-695518372.1495123464","","","","","","LPS4018-222MRB","1.5A","COIL","2.2µH","",""
"27","3","Q1, Q2, Q3","Q_0002","DVB_Q:Q_0002","DVB_SOT:SOT_323-SC_70","http://www.farnell.com/datasheets/1383277.pdf?_ga=2.93567133.1695626472.1571042524-844400034.1570796079","","BSS138PW","N-chan","","","MOSFET","60Vds","320mA","","",""
"28","14","R1, R4, R10, R11, R22, R32, R33, R36, R39, R42, R43, R47, R50, R53","R_0020","DVB_R:R_0020","DVB_Resistors:R_0402","generic","","","","","","10k","1%","100mW","","",""
"29","4","R2, R20, R24, R41","R_0064","DVB_R:R_0064","DVB_Resistors:R_0402","generic","","","","","","100k","5%","63mW","","",""
"30","1","R3","R_0030","DVB_R:R_0030","DVB_Resistors:R_0402","generic","","","","","","18.2k","1%","100mW","","",""
"31","1","R5","R_0028","DVB_R:R_0028","DVB_Resistors:R_0402","generic","","","","","","511k","1%","63mW","","",""
"32","1","R6","R_0121","DVB_R:R_0121","DVB_Resistors:R_0402","generic","","","","","","36.5k","1%","63mW","","",""
"33","1","R7","R_0173","DVB_R:R_0173","DVB_Resistors:R_0402","generic","","","","","","1.8M","1%","100mW","","",""
"34","1","R8","R_0174","DVB_R:R_0174","DVB_Resistors:R_0402","generic","","","","","","205K","1%","100mW","","",""
"35","1","R9","R_0102","DVB_R:R_0102","DVB_Resistors:R_0402","generic","","","","","","84.5K","1%","63mW","","",""
"36","3","R12, R13, R14","R_0001","DVB_R:R_0001","DVB_Resistors:R_0402","generic","","","","","","0","5%","63mW","","",""
"37","1","R15","R_0134","DVB_R:R_0134","DVB_Resistors:R_0402","generic","","","","","","0","1%","63mW","","",""
"38","5","R16, R18, R21, R48, R49","R_0053","DVB_R:R_0053","DVB_Resistors:R_0402","generic","","","","","","220","1%","100mW","","",""
"39","1","R17","R_0133","DVB_R:R_0133","DVB_Resistors:R_0402","generic","","","","","","12.1k","1%","63mW","","",""
"40","3","R19, R26, R27","R_0005","DVB_R:R_0005","DVB_Resistors:R_0402","generic","","","","","","1k","1%","100mW","","",""
"41","1","R23","R_0170","DVB_R:R_0170","DVB_Resistors:R_0402","generic","","","","","","90.9","1%","100mW","","",""
"42","1","R25","R_0171","DVB_R:R_0171","DVB_Resistors:R_0402","generic","","","","","","75","1%","100mW","","",""
"43","8","R28, R29, R30, R31, R34, R35, R37, R40","R_0175","DVB_R:R_0175","DVB_Resistors:R_0402","generic","","","","","","49.9","1%","100mW","","",""
"44","1","R38","R_0118","DVB_R:R_0018","DVB_Resistors:R_0402","generic","","","","","","7.15k","1%","100mW","","",""
"45","1","R44","R_0172","DVB_R:R_0172","DVB_Resistors:R_0402","generic","","","","","","68","1%","100mW","","",""
"46","1","R52","NC","DVB_R:R_0020","DVB_Resistors:R_0402","generic","","","","","","10k","1%","100mW","","",""
"47","3","SW1, SW2, SW3","SW_0003","DVB_SW:SW_0003","DVB_Buttons:PTS810","https://www.ckswitches.com/media/1476/pts810.pdf","","PTS810","","PUSH BUTTON","DPST-NO","","","","TOP","",""
