"Source:","/Users/zhonx/Documents/Projets_PRE/CISYNTH/CIS/Electronique/sss-cis_electronics/CIS.kicad_sch"
"Date:","2023 May 04, Thursday 11:46:05"
"Tool:","Eeschema 7.0.2-0"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","173"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1, C2, C3, C6, C8, C10, C12, C14, C29, C32, C33, C34, C38, C42, C43, C44, C45, C47, C49, C50, C52, C53, C54, C55, C56, C62, C70, C78, C79, C82, C84, C87, C89","33","C_0002","C_0002","DVB_Capacitors_Ceramic:C_0402","DVB_Capacitors_Ceramic:C_0402, CER, 100nF, 25V, X7R, 10%","",""
"C4, C5, C9, C19, C46","5","C_0003","C_0003","DVB_Capacitors_Ceramic:C_0603","DVB_Capacitors_Ceramic:C_0603, CER, 10µF, 25V, X5R, 10%","",""
"C7, C11, C16, C30, C63, C64","6","C_0036","C_0036","DVB_Capacitors_Ceramic:C_0603","DVB_Capacitors_Ceramic:C_0603, CER, 4.7µF, 25V, X5R, 10%","",""
"C13, C15, C18, C31, C41, C51, C69, C81, C83, C88","10","C_0044","C_0044","DVB_Capacitors_Ceramic:C_0402","DVB_Capacitors_Ceramic:C_0402, CER, 1µF, 25V, X5R, 20%","",""
"C17, C21, C22, C23","4","C_0043","C_0043","DVB_Capacitors_Ceramic:C_0402","DVB_Capacitors_Ceramic:C_0402, CER, 18pF, 50V, COG/NPO, 5%","",""
"C20, C37, C58, C59, C60, C61","6","C_0001","C_0001_1","DVB_Capacitors_Ceramic:C_0402","DVB_Capacitors_Ceramic:C_0402, CER, 10nF, 25V, X7R, 10%","",""
"C24","1","C_0013","C_0013","DVB_Capacitors_Ceramic:C_0402","DVB_Capacitors_Ceramic:C_0402, CER, 22pF, 50V, COG/NPO, 5%","",""
"C25, C68, C71, C72","4","C_0053","C_0053","DVB_Capacitors_Ceramic:C_0805","DVB_Capacitors_Ceramic:C_0805, CER, 10µF, 6.3V, X7R, 10%","",""
"C26, C27, C28","3","C_0028","C_0028","DVB_Capacitors_Ceramic:C_0402","DVB_Capacitors_Ceramic:C_0402, CER, 47pF, 25V, COG/NPO, 5%","",""
"C35, C48, C65, C67, C90","5","C_0040","C_0040","DVB_Capacitors_Ceramic:C_1210","DVB_Capacitors_Ceramic:C_1210, CER, 47µF, 10V, X7R, 10%","",""
"C36","1","C_0080","C_0080","DVB_Capacitors_Ceramic:C_0402","DVB_Capacitors_Ceramic:C_0402, CER, 220pF, 50V, X7R, 10%","",""
"C39","1","C_0068","C_0068","DVB_Capacitors_Ceramic:C_0402","DVB_Capacitors_Ceramic:C_0402, CER, 470pF, 50V, X7R, 10%","",""
"C66, C73, C74, C77, C80","5","C_0063","C_0063","DVB_Capacitors_Ceramic:C_0402","DVB_Capacitors_Ceramic:C_0402, GMR, 4.7µF, 10V, X5R, 20%","",""
