reference,unit,value,lib_id,x_mm,y_mm,angle,mirror,pins_nets
#PWR011,1,+3.3V,DVB_Power:+3.3V,385.445,29.21,0,,1:None
C12,1,C_0002,DVB_C:C_0002,385.445,33.02,0,y,1:+3.3V; 2:GND
C10,1,C_0002,DVB_C:C_0002,391.795,33.02,0,y,1:+3.3V; 2:GND
C8,1,C_0002,DVB_C:C_0002,398.145,33.02,0,y,1:+3.3V; 2:GND
C6,1,C_0002,DVB_C:C_0002,404.495,33.02,0,y,1:+3.3V; 2:GND
C2,1,C_0002,DVB_C:C_0002,410.845,33.02,0,y,1:+3.3V; 2:GND
#PWR03,1,GND,DVB_Power:GND,385.445,36.83,0,,1:None
C23,1,C_0043,DVB_C:C_0043,367.665,103.505,0,x,1:GND; 2:Net-(U2-PH1)
C22,1,C_0043,DVB_C:C_0043,349.885,103.505,0,y,1:Net-(U2-PH0); 2:GND
#PWR05,1,GND,DVB_Power:GND,358.775,104.775,0,y,1:None
#PWR06,1,GND,DVB_Power:GND,367.665,107.315,0,y,1:None
R4,1,R_0020,DVB_R:R_0020,420.37,53.975,180,,1:Net-(U2-BOOT0); 2:GND
#PWR070,1,+3.3V,DVB_Power:+3.3V,189.865,252.095,0,,1:None
D1,1,D_0001,DVB_D:D_0001,189.865,255.905,270,x,1:Net-(D1-K); 2:+3.3V
#PWR072,1,GND,DVB_Power:GND,26.67,346.075,0,,1:None
C14,1,C_0002,DVB_C:C_0002,103.505,342.265,0,y,1:Net-(C14-Pad1); 2:GND
#PWR078,1,GND,DVB_Power:GND,103.505,346.075,0,,1:None
#PWR0102,1,GND,DVB_Power:GND,205.105,391.16,0,,1:None
#PWR0116,1,GND,DVB_Power:GND,187.325,391.16,0,,1:None
R1,1,R_0020,DVB_R:R_0020,177.8,347.345,270,,1:Net-(U14-RXER/PHYAD0); 2:GND
#PWR0103,1,GND,DVB_Power:GND,173.99,347.345,270,,1:None
C46,1,C_0003,DVB_C:C_0003,335.28,375.285,0,y,1:Net-(U14-VDD1A); 2:GND
#PWR0117,1,GND,DVB_Power:GND,196.215,378.46,180,,1:None
#PWR0118,1,GND,DVB_Power:GND,196.215,388.62,0,,1:None
#PWR0104,1,GND,DVB_Power:GND,276.86,358.14,90,,1:None
C45,1,C_0002,DVB_C:C_0002,325.755,375.285,0,y,1:Net-(U14-VDD1A); 2:GND
C44,1,C_0002,DVB_C:C_0002,314.96,375.285,0,y,1:Net-(U14-VDD1A); 2:GND
#PWR0105,1,GND,DVB_Power:GND,314.96,379.095,0,,1:None
C43,1,C_0002,DVB_C:C_0002,297.18,375.285,0,,1:+3.3V; 2:GND
#PWR0106,1,GND,DVB_Power:GND,276.86,379.095,0,,1:None
#PWR0107,1,GND,DVB_Power:GND,345.44,379.095,0,y,1:None
C49,1,C_0002,DVB_C:C_0002,356.235,375.285,0,,1:Net-(U14-VDD1A); 2:GND
C47,1,C_0002,DVB_C:C_0002,345.44,375.285,0,,1:Net-(U14-VDD1A); 2:GND
U14,1,U_0101,DVB_U:U_0101,238.76,347.345,0,,1:Net-(U14-VDD1A); 10:Net-(U14-RXER/PHYAD0); 11:Net-(U14-CRS_DV/MODE2); 12:/RMII_MDIO; 13:/RMII_MDC; 14:Net-(U14-nINT/REFCLKO); 15:/ETH_RST; 16:/RMII_TX_EN; 17:/RMII_TXD0; 18:/RMII_TXD1; 19:Net-(U14-VDD1A); 2:Net-(J2-RLED+); 20:/TX_N; 21:/TX_P; 22:/RX_N; 23:/RX_P; 24:Net-(U14-RBIAS); 25:GND; 3:Net-(J2-LLED+); 4:Net-(U14-XTAL2); 5:Net-(U14-XTAL1/CLKIN); 6:Net-(U14-VDDCR); 7:Net-(U14-RXD1/MODE1); 8:Net-(U14-RXD0/MODE0); 9:+3.3V
R32,1,R_0020,DVB_R:R_0020,176.53,321.31,0,,1:+3.3V; 2:Net-(U14-RXD0/MODE0)
R33,1,R_0020,DVB_R:R_0020,181.61,321.31,0,,1:+3.3V; 2:Net-(U14-RXD1/MODE1)
R36,1,R_0020,DVB_R:R_0020,186.69,321.31,0,,1:+3.3V; 2:Net-(U14-CRS_DV/MODE2)
R38,1,R_0118,DVB_R:R_0018,191.77,321.31,0,,1:+3.3V; 2:/RMII_MDIO
R39,1,R_0020,DVB_R:R_0020,196.85,321.31,0,,1:+3.3V; 2:Net-(U14-nINT/REFCLKO)
C55,1,C_0002,DVB_C:C_0002,340.36,299.085,180,,1:Net-(U14-VDD1A); 2:GND
C17,1,C_0043,DVB_C:C_0043,187.325,387.35,0,y,1:Net-(U14-XTAL1/CLKIN); 2:GND
C21,1,C_0043,DVB_C:C_0043,205.105,387.35,0,,1:Net-(U14-XTAL2); 2:GND
R17,1,R_0133,DVB_R:R_0133,273.05,358.14,270,,1:GND; 2:Net-(U14-RBIAS)
XO1,1,XO_0004,DVB_XO:XO_0004,196.215,383.54,0,,1:Net-(U14-XTAL1/CLKIN); 2:GND; 3:Net-(U14-XTAL2); 4:GND
U16,1,U_0049,DVB_U:U_0049,323.215,316.865,270,,1:GND; 2:/TX_N; 3:/TX_P; 4:Net-(U14-VDD1A)
U17,1,U_0049,DVB_U:U_0049,337.82,316.865,270,,1:GND; 2:/RX_N; 3:/RX_P; 4:Net-(U14-VDD1A)
C54,1,C_0002,DVB_C:C_0002,325.755,299.085,180,,1:Net-(U14-VDD1A); 2:GND
#PWR0114,1,GND,DVB_Power:GND,320.675,306.705,180,,1:None
#PWR0119,1,GND,DVB_Power:GND,335.28,306.705,180,,1:None
#PWR0115,1,GND,DVB_Power:GND,340.36,295.275,180,,1:None
#PWR0113,1,GND,DVB_Power:GND,325.755,295.275,180,,1:None
R47,1,R_0020,DVB_R:R_0020,349.25,361.315,0,x,1:GND; 2:Net-(J2-RLED+)
#PWR0145,1,GND,DVB_Power:GND,349.25,365.125,0,y,1:None
C79,1,C_0002,DVB_C:C_0002,464.82,33.02,0,y,1:+3.3V; 2:GND
C78,1,C_0002,DVB_C:C_0002,458.47,33.02,0,y,1:+3.3V; 2:GND
#PWR0108,1,+3.3V,DVB_Power:+3.3V,458.47,29.21,0,,1:None
J2,1,RJ45_Abracon_ARJP11A-MASA-B-A-EMU2,Connector:RJ45_Abracon_ARJP11A-MASA-B-A-EMU2,382.905,327.025,0,,1:/TX_P; 10:GND; 11:Net-(J2-LLED+); 12:Net-(J2-LLED-); 13:Net-(J2-RLED+); 14:Net-(J2-RLED-); 15:GND; 2:/TX_N; 3:/RX_P; 4:Net-(U14-VDD1A); 5:Net-(U14-VDD1A); 6:/RX_N; 7:GND; 9:Net-(J2-V+)
#PWR0111,1,GND,DVB_Power:GND,349.25,71.755,0,,1:None
#PWR0112,1,+3.3V,DVB_Power:+3.3V,349.25,56.515,0,,1:None
#PWR0127,1,GND,DVB_Power:GND,397.51,73.025,270,x,1:None
#PWR0109,1,GND,DVB_Power:GND,458.47,36.83,0,,1:None
C75,1,C_0045,DVB_C:C_0045,386.715,80.645,0,,1:Net-(U2-VFBSMPS); 2:GND
C76,1,C_0045,DVB_C:C_0045,393.065,80.645,0,,1:Net-(U2-VFBSMPS); 2:GND
U1,1,U_0076,DVB_U:U_0076,59.69,201.93,0,,1:Net-(D2-A); 2:GND; 3:Net-(U1-FB); 4:/12V_EN; 5:+3.3V
D2,1,D_0021,DVB_D:D_0021,77.47,189.865,180,,1:+12V; 2:Net-(D2-A)
L1,1,L_0011,DVB_L:L_0011,59.69,189.865,0,,1:+3.3V; 2:Net-(D2-A)
#PWR0110,1,+3.3V,DVB_Power:+3.3V,468.63,45.085,0,,1:None
#PWR0120,1,GND,DVB_Power:GND,358.775,76.835,0,y,1:None
R41,1,R_0064,DVB_R:R_0064,184.785,74.93,180,,1:GND; 2:/CIS_LED_B
#PWR0199,1,GND,DVB_Power:GND,184.785,78.74,0,,1:None
R20,1,R_0064,DVB_R:R_0064,159.385,74.93,180,,1:GND; 2:/CIS_LED_R
R24,1,R_0064,DVB_R:R_0064,172.085,74.93,180,,1:GND; 2:/CIS_LED_G
#PWR0200,1,GND,DVB_Power:GND,172.085,78.74,0,,1:None
#PWR0201,1,GND,DVB_Power:GND,159.385,78.74,0,,1:None
#PWR0159,1,GND,DVB_Power:GND,60.325,79.375,90,,1:None
#PWR0160,1,+12V,DVB_Power:+12V,60.325,133.985,0,,1:None
#PWR0128,1,+3.3V,DVB_Power:+3.3V,423.545,50.165,0,,1:None
R52,1,NC,DVB_R:R_0020,423.545,53.975,0,,1:+3.3V; 2:Net-(U2-BOOT0)
#PWR0161,1,GND,DVB_Power:GND,60.325,92.075,90,,1:None
#PWR0162,1,GND,DVB_Power:GND,60.325,94.615,90,,1:None
R5,1,R_0028,DVB_R:R_0028,64.135,102.235,270,,1:GND; 2:Net-(K1-IREF)
#PWR0163,1,GND,DVB_Power:GND,67.945,102.235,90,,1:None
#PWR0164,1,GND,DVB_Power:GND,67.945,125.73,90,,1:None
#PWR0121,1,GND,DVB_Power:GND,367.665,84.455,0,y,1:None
#PWR0129,1,+3.3V,DVB_Power:+3.3V,438.15,57.785,0,,1:None
#PWR0253,1,GND,DVB_Power:GND,276.225,252.73,0,y,1:None
C70,1,C_0002,DVB_C:C_0002,290.83,248.285,0,x,1:GND; 2:Net-(U8-REGOUT)
C52,1,C_0002,DVB_C:C_0002,173.355,109.855,0,,1:AVDD; 2:GND
#PWR0254,1,GND,DVB_Power:GND,290.83,252.095,0,y,1:None
#PWR0255,1,+3.3V,DVB_Power:+3.3V,276.225,227.33,0,,1:None
#PWR0101,1,GND,DVB_Power:GND,410.21,272.415,0,,1:None
C62,1,C_0002,DVB_C:C_0002,250.825,221.615,0,y,1:+3.3V; 2:GND
#PWR0256,1,+3.3V,DVB_Power:+3.3V,244.475,217.805,0,,1:None
#PWR0257,1,GND,DVB_Power:GND,244.475,225.425,0,,1:None
#PWR0258,1,GND,DVB_Power:GND,250.825,225.425,0,,1:None
#PWR0259,1,GND,DVB_Power:GND,257.175,225.425,0,,1:None
C87,1,C_0002,DVB_C:C_0002,372.11,41.275,0,x,1:GND; 2:/RST
#PWR01,1,GND,DVB_Power:GND,372.11,45.085,0,y,1:None
C80,1,C_0063,DVB_C:C_0063,471.17,33.02,0,,1:+3.3V; 2:GND
C60,1,C_0001,DVB_C:C_0001,244.475,221.615,180,,1:GND; 2:+3.3V
#PWR0165,1,GND,DVB_Power:GND,67.945,85.725,90,,1:None
#PWR0166,1,GND,DVB_Power:GND,60.325,149.225,0,,1:None
#PWR0167,1,GND,DVB_Power:GND,67.945,118.11,90,,1:None
#PWR0122,1,GND,DVB_Power:GND,349.885,107.315,0,y,1:None
#PWR0168,1,GND,DVB_Power:GND,67.945,109.855,90,,1:None
#PWR0169,1,+3.3V,DVB_Power:+3.3V,60.325,83.185,0,,1:None
#PWR0124,1,GND,DVB_Power:GND,358.775,94.615,0,x,1:None
C11,1,C_0036,DVB_C:C_0036,60.325,145.415,0,,1:+12V; 2:GND
C16,1,C_0036,DVB_C:C_0036,64.135,118.11,90,,1:Net-(K1-VCOMH); 2:GND
C77,1,C_0063,DVB_C:C_0063,448.945,33.02,0,,1:+3.3V; 2:GND
C73,1,C_0063,DVB_C:C_0063,374.015,80.645,0,,1:Net-(U2-VFBSMPS); 2:GND
C74,1,C_0063,DVB_C:C_0063,380.365,80.645,0,,1:Net-(U2-VFBSMPS); 2:GND
#PWR0125,1,GND,DVB_Power:GND,420.37,50.165,0,x,1:None
C66,1,C_0063,DVB_C:C_0063,257.175,221.615,0,,1:+3.3V; 2:GND
#PWR0175,1,GND,DVB_Power:GND,173.355,113.665,0,,1:None
C30,1,C_0036,DVB_C:C_0036,115.57,193.675,0,,1:+12V; 2:GND
#PWR015,1,GND,DVB_Power:GND,366.395,174.625,90,,1:None
C1,1,C_0002,DVB_C:C_0002,417.195,33.02,0,y,1:+3.3V; 2:GND
C3,1,C_0002,DVB_C:C_0002,423.545,33.02,0,y,1:+3.3V; 2:GND
